tours,reviews,company,describtion,price
Nassau Shore Excursion: Cultural Heritage Sightseeing Tour,21 , Tyrone Wilson's V.I.P Taxi & Tour Services,"When your cruise ship docks in port, get a comprehensive overview of Nassau's cultural heritage on this 3.5-hour shore excursion. Attractions include the Cave of New Providence, the Ardastra Gardens, and Fort... read more ",SAR 406.90 
ATV Rental,1 , Virgo Car & Scooter Rental,Virgo brings forth a unique experience for the everyday customer. Top notch ATV products along with the ability to explore the beautiful island of Nassau. We have consistent availibity in terms of both renting and... read more ,SAR 375.02 
Private Get Away Boat Tours,No , Bahama Joy Ride & Snorkeling Adventures,This tour will only be exclusive to those that is related to your party. Your own food and drinks is also welcomed aboard.,SAR 487.53 
Bahamas Bond Adventure - Poker Run (no running) and Beach Day,2 , Nassau Native Quest and Beach,"This 4 hour city and beach adventure will have you exploring old James Bond film locations through downtown Nassau, while either playing the part of a 007 AGENT working for MI6 or a ROGUE AGENT that’s been turned by... read more ",SAR 299.98 
Island Food Tour,3 , Bahamazing Tours,One of the best ways to experience the Islands is through our unique tour takes you to over 5 food stops throughout the island. Come & Experience the best food tour in Nassau. Your tour will include visits to... read more ,SAR 243.76 
Rose Island Day Trip per person,No , Blue Wave Charters,"This tour is unique because it offers more activities, such as paddle boards & beach games. We spend more time at each destination than other tours & focus on a more intimate experience for our guests. We... read more ",SAR 468.78 
Catch a Ride from your Cruise Ship to Atlantis: Shuttle,No , Moss Private Transportation,Plan your day away in Nassau ahead and book MPT to take you from the Port to Atlantis or Baha Mar and return you safely no headache or worry! Our shared cruise ship shuttle gives guests the flexibility to enjoy... read more ,SAR 112.51 
Bahamas by fast ferry with optional Pig Beach visit,31 , US2U Inc. Sightseeing & Beach Weddings,"Whether you're a first-time visitor or Miami local, nothing beats an excursion to the tropical beaches of the Bahamas. With this full-day outing from Miami, hop a ferry across turquoise waters on your way to the... read more ",SAR 832.55 
Nassau Shore Excursion: 2-Tank Dive Adventure,8 ,No company,"Swap the cruise ship for Nassau’s prettiest underwater spots on this half-day shore excursion. Explore some of the region’s most stunning diving areas, including a shipwreck and vibrant coral reefs teeming with... read more ",SAR 604.84 
Family Beach Escape,5 , Bahamas Adventures,Enjoy a relaxing beach day in Freeport with this day pass to Bahamas Adventures Beach Club. This day pass is specially designed for families with kids ages 4–11. Sit back and relax while the kids enjoy treasure... read more ,SAR 224.98 
Freeport Bonfire on the Beach Bahamas Style,31 , H. Forbes Charter Services,"Attend a bonfire on Taino beach with limbo contests, a DJ and fire dancing. During this evening party outing from Freeport, enjoy unlimited Bahama Mama cocktails and a Bahamian buffet dinner. Watch the stars come... read more ",SAR 206.26 
Scooter Rental,No , Virgo Car & Scooter Rental,"Virgo Scooter Rental brings forth an opportunity for its customers to see the beautiful island of Nassau on their own time. Being located downtown, customers are able to easily maneuver throughout the streets of... read more ",SAR 206.26 
"Tour Nassau Bahamas aboard an ATV, Buggy or Jeep Wrangler!",2 , J & S Scooter ATV's Chasing Charters,The Bahamas is one of the most captivating countries in the world. Those who visit can't wait to dive into its hidden treasures and rich culture. Here at J&S we leave no stone un turned enjoy a 3.5 hour tour of... read more ,SAR 600.00 
Segway & Beach Experience,No , Reef Tours Ltd.,"Combining the native beach life of Freeport with the latest in technology of the 21st century, the off-Road x2 adventure with beach is one of the relaxing things you can do while on vacation. Once you gear up and... read more ",SAR 315.02 
Grand Bahama Shark Dive,39 , Reef Oasis Dive Club,"Come face-to-fin with Caribbean reef sharks on this 2.5-hour shark diving experience from Freeport. Under the supervision of a professional shark diver, you’ll explore the crystalline waters off the coast of... read more ",SAR 546.03 
Heritage Museum of The Bahamas Nassau Guided Tour,1 , Graycliff Chocolatier,"Get an in-depth look at the Heritage Museum of the Bahamas on this guided tour. See artifacts and relics related to the island's history, dating back many generations, accompanied by thoughtful commentary. Learn... read more ",SAR 78.19 
One Way Nassau Airport Fast-Track Access at Lynden Pindling...,9 , Bahamas Experience Tours,Enjoy one way fast-track access for your arrival ($99 each way which includes meet and greet at the plane) at Lynden Pindling International Airport in Nassau. Meet your personal concierge at the gate with a... read more ,SAR 374.98 
Hour Jet Ski Adventure,8 , My Own Water Sports,Explore the Bahamian waters on a jet ski during this full hour rental from Nassau. Can accommodate individual riders or couples; hotel and port pickup and drop-off included. ,SAR 562.53 
High Cay Private Island Excursion on San Salvador Island,23 , Columbus Isle Excursions,"Explore the waters around San Salvador Island during this day cruise to High Cay. Follow the same route that Christopher Columbus did, south along the coast to Grotto Beach, Pigeon Creek and the Reefs at High Cay.... read more ",SAR 693.79 
FUN IN THE SUN SPECIAL ! - GLASS BOTTOM BOAT & BANANA BOAT TOUR,No , Bahama Joy Ride & Snorkeling Adventures,"We are a new company, please don't be afraid to try us out! who doesn't love a good deal?Take a tour of all of the coral reefs and enjoy the sights of under the sea right from your seat! On this tour you will be... read more ",SAR 337.52 
"Overnight Day Trip to Bimini, Bahamas with Transport",1 , Gray Line Miami Tours,"From your Miami hotel, our state-of-the-art coach will pick you up and transfer you to Port Everglades to step off the mainland and onto our high-speed 650-passenger, modern, comfortable 81 meter vessel that will... read more ",SAR 830.67 
Swimming with the turtles,No , Bluefinn242,"This trip begins with a brief harbour tour with historical sights, a fifteen minute cruise over to green cay or what’s better known as turtle island where you will get to snorkel and interact with a variety of local... read more ",SAR 468.78 
Freeport Reef Snorkeling Adventure with Beach Break and Shopping,3 , Bahamas Adventures,"Spend a day enjoying three popular Bahamian activities—reef snorkeling, relaxing on the beach, and shopping at the straw market—on a single tour. Hop a boat out to the reef and don provided snorkeling equipment for... read more ",SAR 262.48 
Nassau Shore Excursion: SUB Bahamas Adventure,27 ,No company,"When your cruise ship docks in Nassau's port, explore the waters off the Bahamas with a SUB underwater scooter. During this 6-hour excursion, use a Scenic Underwater Bubble to discover the island's sea life without... read more ",SAR 621.64 
Tour Exuma Bahamas aboard an ATV,1 , J & S Scooter ATV's Chasing Charters,"Experience Exuma in a different way—from an all-terrain vehicle. With a local guide, your group explores the island including landmarks such as Pompey Jail and Cocoplum Beach. Learn about Exuma’s history and enjoy a... read more ",SAR 693.79 
Wild ATV Off Road Tour with Bahamian Bites,1 , J & S Scooter ATV's Chasing Charters,Rip through the streets of Nassau aboard an off road vehicle and taste what island is truly like! Enjoy island treats that are indigenous to The Bahamas as you take in the all the Bahamas has to offer in a 2.5... read more ,SAR 600.00 
Bahama Life Cultural Scenic Tour,No , Trident Pedal Tours,This unconventional tour is guaranteed to exceed our guests' expectations. It is perfect for visitors who wish to experience Nassau in an unique way. Join in the fun as we pedal through the alluring streets of... read more ,SAR 506.28 
Pirate Dinner Cruise,No , Blackbeard's Revenge,"Join us this any Tuesday or Thursday for our Dinner Cruise on-board our 18th Century PIRATE SHIP Blackbeard's Revenge!Our Two-Hour Dinner Cruise includes a three course dinner, with a complimentary glass of wine... read more ",SAR 393.77 
"Tiki Harbor Cruise ( Beach Break, Lunch & Free Alcohol with Rum Cake...",No , Crusin' Tikis Nassau,"Cruise around in shorts, flip flops or your bikini and be the envy of everyone as you party on this 6 passenger floating Tiki bar! Feel the ocean breeze on your face while listening to your favorite tunes with Mixed... read more ",SAR 746.29 
Caribbean Lifestyle Tour,No , Cruise Into Paradise,"Visit heritage sites to understand the culture and history of African slaves in Nassau. Admire the charming Versaille Garden, a Wedding Photoshoot hot spotBe captivated by the exclusive real estate of One... read more ",SAR 431.28 
Bob Marley Resort Beach Day with Lunch,3 , Adventures Caribbean,"Spend a full day at Bob Marley's former vacation home, now a resort, with this adults-only day excursion. You'll head out from Nassau to the Bob Marley Resort on Cable Beach, where you'll have the chance to swim,... read more ",SAR 371.27 
Nassau Private Airport Transfer,3 , Courtesy Private Charters,"More than just a ride! Arrive in Nassau,Bahamas the stylish way with a pre-booked or pop up private transfer service. Your driver would await your arrival at Sir Lyden Pindling Airport, Jet Aviation, Odyssey, Cruise... read more ",SAR 372.02 
Graycliff Chocolatier Chocolate and Spirits Tasting in Nassau,5 , Graycliff Chocolatier,"Visit the Graycliff Chocolatier to taste locally made fine chocolates and spirits on this tour. Learn about the history of cocoa production in the islands and taste some delectable samples, paired with port,... read more ",SAR 315.02 
Freeport Shore Excursion: Deadman's Reef Snorkeling and Beach Escape,23 , Fran's Travel Tour & Limo Service,"While in port in Freeport, enjoy a day in Deadman’s Reef on Grand Bahama. Spend your morning or afternoon as you wish – this area offers white-sand beaches, calm, clear waters and world-class snorkeling, without the... read more ",SAR 363.77 
Day Drinkers Pub Crawl,No , Day Drinkers,This tour allows persons to see and taste the island through the eyes of a native. You will go places most tourists won’t and experience what life here in Nassau is truly like. Let us show you how to eat and drink... read more ,SAR 431.28 
1hr Jet Ski Tour,1 , K & C Watersports,"KC Watersports is the only Bahamian Jet Ski Company offering Guided Tour of Nassau, Bahamas. See the island in a whole new way & learn about some of the history of the islands.Each ski can accommodate (2) people... read more ",SAR 750.04 
Nassau Shore Excursion: Resort Diving Course,5 ,No company,"Experience scuba at a Nassau resort on a half-day shore excursion and diving course, and encounter the Bahamas’ brilliant coral and vibrant fish. Learn the basics of safety and technique in the classroom, practice... read more ",SAR 718.24 
Land and Sea Sightseeing Tour from Nassau,14 , Marvelous Tours,"Combine a comprehensive sightseeing tour of Nassau with a snorkeling adventure off Nirvana Beach on this half-day tour in the Bahamas. Ride in a comfortable, air-conditioned coach to see highlights such as Bahamar,... read more ",SAR 397.52 
Ultimate Jetski Safari,3 , Bahamas Adventures,"Take a jet ski safari across the pristine waters around the Grand Bahamas during this 4.5-hour tour. See the homes of the rich and famous, discover local wildlife, and have a fun day out on the water. After your... read more ",SAR 746.29 
Segway & Beach Experience,No , Reef Tours Ltd.,"Combining the native beach life of Freeport with the latest in technology of the 21st century, the off-Road x2 adventure with beach is one of the relaxing things you can do while on vacation. Once you gear up and... read more ",SAR 315.02 
A FOODIE DELIGHT WITH COOKIN' IN PARADISE - A TASTE OF THE BAHAMAS,1 , Goombay House Cooking Class Studio,"With the help of your native chef, you will learn to cook traditional Bahamian dishes step by step. The chef will explain to you the secret ingredients to create these flavourful dishes loved by many. You will then... read more ",SAR 371.27 
"Swim with Turtles, Green Cay, Five Dollar Reef & Rose Island, Bahamas",4 , Fanta Sea Island Charters,Venture out with Fanta Sea Island Charters on a short boat ride from New Providence Island to nearby Green Cay. Here you can swim with turtles in the crystal clear Bahamas salt waters. After swimming with the... read more ,"SAR 2,812.67 "
Bus for a Day (450 USD per vehicle),5 , Bahtours,"Maximize your time in Nassau by renting your own bus for the day. Perfect for families, wedding parties, and groups, choose from more than 30 island activities to create a customized adventure with a pre-arranged... read more ","SAR 1,687.60 "
Land and Sea Exploration,1 , Big Mama's Tours & Taxi,"Explore the Bahamian capital by land and by sea on this half-day, two-for-one tour. Meet your guide in the city center, and travel in an air-conditioned minivan. You’ll see historical highlights like Fort Fincastle... read more ",SAR 375.02 
Heritage Museum of The Bahamas Nassau Guided Tour,1 , Graycliff Chocolatier,"Get an in-depth look at the Heritage Museum of the Bahamas on this guided tour. See artifacts and relics related to the island's history, dating back many generations, accompanied by thoughtful commentary. Learn... read more ",SAR 78.19 
Jet-Boating in Bahamas,No , Bahamas To-Do,"Come on board with us and enjoy a scenic ride that combines safety with excitement and superior customer service to bring you an unforgettable experience. Be prepared to enjoy an adrenaline pumping, high-speed water... read more ",SAR 442.53 
Private Half-Day Snorkeling Charter in Nassau,16 , Born Free Fishing Charters,"Customize your snorkeling expedition from Nassau on this private half-day charter. With a dedicated captain and use of snorkel equipment, explore the underwater world at a few of the Bahamas' best snorkel sites.... read more ","SAR 2,437.64 "
Vacation Photographer in Nassau,1 , Localgrapher,Localgrapher is the largest network of professional photographers and videographers with more than 600 destinations around the globe! Book your private photographer and guide in Nassau to capture your... read more ,SAR 909.62 
A Day at Nirvanna/Love Beach: Bus Shuttle,No , Moss Private Transportation,"Enjoy a day at the Beach with this relaxing shore excursion!We will transport you from your cruise ship and/or hotel to the beach of your choice. You can enjoy a day relaxing, swimming and snorkeling at Nirvana... read more ",SAR 184.89 
Catch a Ride from your Cruise Ship to Atlantis: Shuttle,No , Moss Private Transportation,Plan your day away in Nassau ahead and book MPT to take you from the Port to Atlantis or Baha Mar and return you safely no headache or worry! Our shared cruise ship shuttle gives guests the flexibility to enjoy... read more ,SAR 112.51 
Private Half-Day Fishing Charter in Nassau,6 , Born Free Fishing Charters,"Cruise off the coast of the Bahamas aboard a 31-foot (9-meter) Bertram boat on a personalized fishing charter from Nassau, and customize the itinerary to your preferences. Opt to drop your line in the deep waters... read more ","SAR 2,437.64 "
Jet Ski Hop-On Hop-Off Tour (FOR 2),No , Richie's Transportation Services,"What makes this tour less conventional than your typical jet skiing experience is a fast pace, and energetic experience at 3 exceptional beaches in Nassau and Paradise Island, Bahamas. **The listed price of this... read more ",SAR 750.04 
Full Day Private Charter,4 , Tyto Tours,"Get ready to enjoy the thrill of a lifetime on our 48-foot Chris-Craft, Bucket List. Once on board, you’ll meet with the crew to customize your experience. A trip to The Bahamas wouldn’t be complete without a... read more ","SAR 6,375.37 "
Transportation and Private Tours,No ," John Mcphee, the owner of Ride Bahamas","Reliable, always on time, credit card friendly, knowledgable about local market, presentable, clean",SAR 131.26 
Transfer in Private Vehicle from Nassau City to Airport,No , MY TRANSFER GROUP,"Book a private transfer from your hotel or destination to Airport, service guaranteed once you make the booking. We will provide all information necessary to meet your driver at hotel or destination. • Meet and... read more ",SAR 165.46 
Private Half-Day Sightseeing and Beach Charter in Nassau,3 , Born Free Fishing Charters,Benefit from personalized attention and a flexible itinerary on this private half-day boat charter off Nassau. Choose where you'd like to go with the help of the dedicated captain and crew; options include any area... read more ,"SAR 2,437.64 "
Roundtrip Nassau Airport Luxury Transfer,28 , Nassau Bus & Transportation Services,"Arrange your luxury, round-trip airport transfer in advance and skip the hassle of booking a service in Nassau. This convenient form of transport takes you from Nassau International Airport to your hotel or villa in... read more ",SAR 890.68 
Grum Ma's Cultural Center Admission and Tour,No , Grum Ma's House Cultural Center,Enjoy admission and a tour at Grum Ma's Cultural center during this activity in Freeport. Learn about native Bahamian culture through presentations and artifacts representing the history and traditions of the... read more ,SAR 142.51 
Freeport Shore Excursion: Bahamian Brewery Tour and Beer Tasting,13 , Fran's Travel Tour & Limo Service,"Step on shore at Freeport for a beer lover’s shore excursion to Bahamian Brewery, and sample the island’s lagers, stouts and ales at an onsite bar. Go behind the scenes with your guide, and see how the beers are... read more ",SAR 112.47 
Cigar Rolling Lesson and Rum Tasting in Nassau,4 , Bahamian Hospitality,This tour provides round-trip transportation from Nassau and combines a cigar rolling lesson and rum tasting. Learn to roll your very own cigar at the Graycliff Cigar Company and taste authentic Bahamian rum as you... read more ,SAR 750.04 
Roundtrip Airport Shuttle from Sir Lynden Pindling Airport,7 , Moss Private Transportation,MPT takes the worry out of travel with our Airport Shuttle! We will pick you up from the airport and transport you to your hotel! You can either book us privately or utilize our shared shuttle service for round trip... read more ,SAR 119.97 
RUM N' TING - MIXING & DRINKING THE TOP BAHAMIAN RUM COCKTAILS WITH...,No , Goombay House Cooking Class Studio,"Learn how to make the perfect Bahamian cocktail during this mixology class in Nassau. With an experienced bartender and mixologist to guide you, learn how to combine the flavors of the islands in perfectly balanced... read more ",SAR 219.39 
Happy Hour Bim - Its a Friday Evening....,No , Goombay House Cooking Class Studio,"Spend happy hour in the Bahamas in a guide’s private home, learning to mix cocktails. Munch on snacks as you follow along to some delicious tropical drink recipes, and be sure to try your creations after you’ve... read more ",SAR 187.51 
4 Hour Scooter Rental Nassau Bahamas,No , J & S Scooter ATV's Chasing Charters,"Excited to see the city of Nassau but would like to do so solo, no problem. J&S gives you the freedom of riding the streets of New Providence as a lone soldier! Make the stops you find interesting. Stay as long... read more ",SAR 337.52 
"Round trip Airport (LPIA) to Hilton, Marriott, Holiday Inn, The...",No , Rickyluv Bahamas Taxi and Tour,We offer our guest customized pick up and drop off services. We also offer discounted fares for guest who book with us.Professional..Safe..Reliable,SAR 150.01 
Land & Sea Adventure on ATV & Tiki Bar Boat (Beach Break...,5 , C&C Scooter Rentals (BAH),See the best of Nassau and Paradise Island during a morning or afternoon ATV tour with an expert guide. Drive your own 3-passenger Can-Am Outlander 450 Max ATV or ride as a passenger and cruise along the scenic... read more ,"SAR 1,121.32 "
Hop-On Hop Off City & Beach Tour,1 , Bahamas Party Bikes, Experience the good life with this tour aboard a pedal-powered bar. You'll start in downtown Nassau and make your way out to Graycliff Chocolatier to learn the art of chocolate making from a pro. It's then off to... read more ,SAR 187.51 
Treasure Reef Snorkel Adventure,No , Reef Tours Ltd.,"Explore Treasure Reef, located off the coast of Freeport, on this Bahamian snorkel expedition. Travel aboard a spacious power catamaran; you can relax and take in the shoreline scenery as you cruise. Once you arrive... read more ",SAR 187.51 
Premium Historical island tours,No , Premium Tours and Transportation,The tour is highly informative and fun and include free chocolate samples at the chocolate factory. The tour also includes a stop at the historical forts where you will receive the driver's discount on souvenirs.,SAR 112.51 
"Graycliff Hotel ""Escape Nassau"" Day Pass",1 , Graycliff Chocolatier,"Live a life of luxury for a day with this day pass to the 5-star Graycliff Hotel's grounds and amenities. Step out of Nassau's frenetic pace and be greeted with a welcome drink and tour of the hotel's amenities,... read more ",SAR 420.02 
Freeport Shore Excursion: Round-Trip Beach Transfer to Paradise Cove,34 , Fran's Travel Tour & Limo Service,"Enjoy round-trip transport from your cruise ship to Paradise Cove, the ideal place to spend a beach day while docked in Grand Bahama. This picturesque beach offers soft, white sand, crystal-clear waters, world-class... read more ",SAR 82.47 
Nassau Shore Excursion: Shark Diving Adventure,4 ,No company,"Get up close to Caribbean reef sharks on this thrilling, half-day shore excursion. After your cruise ship arrives in Nassau, set off to begin your 2-tank dive. Enjoy a ‘free swim’ with sharks on one of Barbados’... read more ",SAR 806.45 
Bahamian Culture and Cooking Lesson Tour,2 , Grum Ma's House Cultural Center,"Learn about Bahamian culture through participating in cooking, crafts or dancing during this cultural tour from Freeport. Take a cultural tour with a friendly, informative local guide before choosing your creative... read more ",SAR 258.77 
AirPort Transfer (One Way),No , Luxton Ace,We offer a Private Transfer in an Air Conditioned Vehicle within nassau. We have been in the transportation industry for several years and have qualified drivers who have been certified by the Bahamas Road traffic... read more ,SAR 356.27 
I Love Nassau Photo Shoot,No , Blue Sea Charters,"You will be comfortable, receive quality, history and must have photos to reflect your trip to our beautiful island.",SAR 450.03 
"Round trip Airport (LPIA) to Hilton, Marriott, Holiday Inn, The...",No , Rickyluv Bahamas Taxi and Tour,We offer our guest customized pick up and drop off services. We also offer discounted fares for guest who book with us.Professional..Safe..Reliable,SAR 150.01 
1 Hour ATV Rental Nassau Bahamas,1 , J & S Scooter ATV's Chasing Charters,"Excited to see the city of Nassau but would like to do so solo, no problem. J&S gives you the freedom of riding the streets of New Providence as a lone soldier! Make the stops you find interesting. Stay as long... read more ",SAR 525.03 
Myles Munroe Legacy Tour,No , Myles Munroe Tour,"This tour is very unique, as it depicts the life of a Great Bahamian. This is the first tour of its kind in the Bahamas. Dr. Myles Munroe, O.B.E., who was tragically killed in an air plane crash while on his way to... read more ",SAR 206.26 
Vacation Photographer in Bahamas,No , Localgrapher,Localgrapher is the largest network of professional photographers and videographers with more than 600 destinations around the globe! Book your private photographer and guide in Bahamas to capture your... read more ,SAR 909.62 
Freeport Shore Excursion: Half-Day Freeport Tour,15 , H. Forbes Charter Services,"Visit all of Freeport's highlights and landmarks during this shore excursion. Explore 'Millionaires Row,' go duty-free shopping at a local liquor shop and visit a bustling open air fruit market. Take a walk through... read more ",SAR 168.72 
DIY Glass Etching in South Eleuthera,No , Markera Dupuch,"Etching a glass with me is quite a simple straightforward activity. While we etch, I can give key info about this amazing island of Eleuthera. You will also sample local native teas such as sour sop leaf, pear leaf,... read more ",SAR 56.25 
Shared Round-Trip Transportation: Sir Lynden Pindling Airport,No , Moss Private Transportation,Moss Private Transportation shared airport transfer provides you with the unique experience of private transportation whilst on a shuttle service in our spacious and comfortable fleet!. We cater to each guests needs... read more ,SAR 151.88 
Transportation and Private Tours,No ," John Mcphee, the owner of Ride Bahamas","Reliable, always on time, credit card friendly, knowledgable about local market, presentable, clean",SAR 131.26 
Cave Tour and Gold Rock Beach,1 , Tesla City Tours,"Explore the gorgeous scenery and landmarks around Freeport in the comfort of a luxury Tesla X 90D vehicle driven by your own private driver. During this half-day tour, you’ll visit destinations such as Lucayan... read more ",SAR 281.27 
Exuma Swimming Pigs Day Excursion,2 , Harbour Safaris,"Our tour will take you on a wonderful journey through the Beautiful Exuma Cays to spend time with the Famous Swimming Pigs. We will meet our endangered Bahamian Rock Iguanas, and after an amazing lunch, you will... read more ","SAR 1,496.34 "
Transfer in private Minivan from Nassau City to Airport,No , MY TRANSFER GROUP,"Book a private transfer from your hotel or destination to Airport, service guaranteed once you make the booking. We will provide all information necessary to meet your driver at hotel or destination. • Meet and... read more ",SAR 330.92 
Transfer in Private Vehicle from Nassau City to Airport,No , MY TRANSFER GROUP,"Book a private transfer from your hotel or destination to Airport, service guaranteed once you make the booking. We will provide all information necessary to meet your driver at hotel or destination. • Meet and... read more ",SAR 165.46 
Afternoon Tea at Graycliff Hotel,No , Graycliff Chocolatier,Enjoy a relaxing interlude from the hustle and bustle of beachgoing and sightseeing at the historic Graycliff Hotel for a Traditional Afternoon Tea. Graycliff celebrates this fine – and delicious -- British... read more ,SAR 223.03 
Cycle City and Beach Tour,1 , Fran's Travel Tour & Limo Service,"Make the most of your Freeport shore excursion, and combine multiple activities in a single, half-day tour. Meet your guide at the port, and transfer via air-conditioned vehicle to the Port Lucaya Marketplace. Pick... read more ",SAR 468.78 
Half-Day 38ft Private Charter in Nassau,22 , Reel Dreams Sport Fishing Charters,"Take to the water—and plan your own itinerary—when you embark on a half-day, private boat charter from Nassau. Pick from morning or afternoon departure times, meet your captain, and hop aboard the 38-foot (12-meter)... read more ","SAR 3,000.18 "
A Taste of Hawaii In Nassau Bahamas,No , Studio Massage Bahamas,"A sacred (Pule) Hawaiian massage that focuses on a healing touch and the air (Ha) we breathe in as the breath of life (Aloha). Using a combination of continuous, flowing, rhythmic and circular techniques, sacred... read more ",SAR 420.02 
Shared Arrival Transfer:Nassau International Airport to Hotel,No , NexusTours,"When you arrive at Nassau International Airport, don't get bogged down with rental cars and maps. Take the easy way, by booking this speedy airport transfer service!  Enjoy convenient transport from the airport... read more ",SAR 108.76 
Private Round-Trip Transfer: Freeport Airport to Hotel,19 , Fran's Travel Tour & Limo Service,"Book private round-trip luxury transportation to and from Grand Bahama International airport ahead of time. Start your vacation right away when your plane lands in Freeport, and travel to your accommodation via... read more ",SAR 168.76 
Cigar Rolling Lesson at Graycliff Cigar Company,No , Graycliff Chocolatier,"Get hands-on experience with cigar rolling during this cigar rolling lesson at the Graycliff Cigar Company. Learn how the best torcedors, or cigar rolling experts, do it during an interactive lesson that begins with... read more ",SAR 318.77 
ISSA BRUNCH VIBE - BRUNCHIN' THE BAHAMIAN WAY WITH AN INTERNATIONAL...,6 , Goombay House Cooking Class Studio,"Start your day with a traditional Bahamian brunch and cooking class at GoomBay House. Under the supervision of a chef, learn how to make some authentic dishes while sipping three included mimosas. Then sit down with... read more ",SAR 262.52 
Fall In Love With A Romantic Experience In Nassau Bahamas,No , Studio Massage Bahamas,"A therapeutic experience for two.Perfect for couples seeking a uniquely romantic gift. Deliver an amazing massage to your partner. Learn techniques and proper ergonomics with guided, hands-on instructions for ease... read more ",SAR 843.80 
Island Hopping Tours,2 , Marvelous Tours,"See more of the Bahamas than you ever could on your own with this island-hopping expedition that introduces you to several different islands. Hop aboard a speedboat and cruise the crystal ocean waters, visit a... read more ",SAR 825.05 
Shared Round-Trip Transfer: Freeport International Airport,1 , NexusTours,Pre-book your transfers to and from Freeport International Airport and enjoy a hassle- free transportation!  Plan ahead and book your Freeport  round-trip airport transfer in advance to enjoy a... read more ,SAR 108.76 
Airport Transfers,No , Island Girls Taxi and Tours,Unique transportation with a courteous and competent friendly drivers that take pride in offering great customer experience,SAR 168.76 
Luxury SUV Airport Transfer,3 , Prestigious Transport,"Reserve your luxury SUV airport transfer in advance and have us transport you, prestigiously, to your destination. Whether arriving for business or pleasure, start your journey off right by riding in luxury, class,... read more ",SAR 562.53 
Flight & Small Group Tour to Swimming Pigs with 7 Stops Including...,20 , 3N's Vacation Services,"Swim with the famous Bahamian swimming pigs with this plane and boat tour to the Exumas. Along with the pigs, you'll also get the chance to feed iguanas and pet sharks, with time left over to relax on the beach or... read more ","SAR 1,871.36 "
Catamaran Sailing & Snorkeling Tour,1 , Reef Tours Ltd.,"Sail along the shores of the Bahamas and take in coastal views on this tour aboard a catamaran. You’ll get to spend a few hours out on the waters with a guide, who will ensure you leave the tour relaxed and with new... read more ",SAR 210.01 
Historic Fort Tour in Nassau,No , Tours of A Lifetime,"Historic Fort Charlotte sits on a hilltop about a mile west of downtown Nassau. With this tour, skip the ticket lines and spend just over an hour exploring the fort with a guide. Learn about its important role in... read more ",SAR 72.00 
Tipsy Tours,No , Tipsy Tours,Tipsy Tours is a fun filled and excited way to have tours without the bore. Enjoy our delicious alcohol or non-alcoholic bahamian beverages while you explore different locations in the island of Nassau.,SAR 243.76 
Transfer in Private Vehicle from Nassau Airport to Nassau Island,No , MY TRANSFER GROUP,"Book a private transfer from the Airport to your hotel or destination, service guaranteed once you make the booking. We will provide all information necessary to meet your driver at arrival. • Meet and greet •... read more ",SAR 165.46 
Shared Round-Trip Transfer: Freeport Harbour International Airport,No , NexusTours,Pre-book your transfers to and from Freeport International Airport and enjoy a hassle- free transportation!   Plan ahead and book your Freeport  round-trip airport transfer in advance to... read more ,SAR 112.51 
Freeport Shore Excursion: Bahamas Style Bonfire on the Beach,3 , H. Forbes Charter Services,"Enjoy your Freeport shore excursion Bahamas-style, with a 3-hour bonfire on the beach, tropical buffet and all-out party. Sip Bahama Mama cocktails as you watch the stars appear over the ocean, then fill your plate... read more ",SAR 206.26 
Prueba la verdadera Nassau,1 , Bahamas A Sus Ordenes,"Discover the tastes of Nassau on a private tour that combines food with the city's top sights. As you pass by landmarks such as the Queen's Staircase and Fort Fincastle, learning about their histories, you'll stop... read more ",SAR 195.01 
Jet-Boating in Bahamas,No , Bahamas To-Do,"Come on board with us and enjoy a scenic ride that combines safety with excitement and superior customer service to bring you an unforgettable experience. Be prepared to enjoy an adrenaline pumping, high-speed water... read more ",SAR 442.53 
Sightseeing tours,1 , Supernova Bahamas Tours,"I provide a exciting memorable experience of sightseeing of the island of New providence going by sights such as queen staircase,rum cake Factory, John watlings distillery tasty t's etc making memories and marking... read more ",SAR 262.52 
Bus for Half a Day (Shore excursion $299 USD per vehicle),2 , Bahtours,Choose from 30 different activities to do on the island. We will then help you• Create an itinerary that reflects the needs and desires of your group• Maximize the allotted four-hour tour time• Most of the... read more ,"SAR 1,121.32 "
Ultimate Jetski Safari,3 , Bahamas Adventures,"Take a jet ski safari across the pristine waters around the Grand Bahamas during this 4.5-hour tour. See the homes of the rich and famous, discover local wildlife, and have a fun day out on the water. After your... read more ",SAR 746.29 
A Deep Tissue Massage You'll Love In Nassau Bahamas,No , Studio Massage Bahamas,The benefits of Deep Tissue/Sports Massage include easing discomfort from strains and long term injuries to promote a speedy recovery or prepare muscles for physical activity. An electric percussion gun can also be... read more ,SAR 487.53 
Abu Dhabi City & Ferrari World Full Day Tour (Admission Ticket...,1 , Sougat Travel & Tours,"Discover the best of the capital of the Emirates on this full-day tour from Dubai. See the city’s main highlights such as the Sheikh Zayed Grand Mosque, the Emirates Palace, the Presidential Palace and learn about... read more ",SAR 487.53 
Bahamian talk tour,No , Supernova Bahamas Tours,"this tour is both exciting ,informative educational and fun, for all age group especially kids.A nice beach location away from all the Hussle and bustle of Nassau down town ,get away and absorb the feeling of island... read more ",SAR 112.51 
